省份,计划类别,招生专业,科类,专业组,招生计划
河南,艺考类,设计学类,艺术(文),,3
黑龙江,高校专项,法语,历史类,不限,1
黑龙江,高校专项,化学,物理类,化学,1
黑龙江,高校专项,生物科学类,物理类,化学,1
黑龙江,国家优师专项,汉语言文学（优师专项）,历史类,不限,2
黑龙江,国家优师专项,历史学（优师专项）,历史类,不限,1
黑龙江,国家优师专项,数学与应用数学（优师专项）,物理类,化学,2
黑龙江,国家优师专项,物理学（优师专项）,物理类,化学,1
黑龙江,普通类(本科批),法学,历史类,不限,1
黑龙江,普通类(本科批),法学（双学位）,历史类,不限,2
黑龙江,普通类(本科批),翻译（双学位）,历史类,不限,1
黑龙江,普通类(本科批),汉语言文学,历史类,不限,2
黑龙江,普通类(本科批),教育学类,历史类,不限,2
黑龙江,普通类(本科批),金融学类,历史类,不限,2
黑龙江,普通类(本科批),历史学,历史类,不限,2
黑龙江,普通类(本科批),社会学类,历史类,不限,2
黑龙江,普通类(本科批),新闻传播学类,历史类,不限,2
黑龙江,普通类(本科批),英语,历史类,不限,2
黑龙江,普通类(本科批),电子信息科学与技术,物理类,化学,2
黑龙江,普通类(本科批),化学,物理类,化学,2
黑龙江,普通类(本科批),计算机科学与技术,物理类,化学,3
黑龙江,普通类(本科批),软件工程,物理类,化学,4
黑龙江,普通类(本科批),数据科学与大数据技术,物理类,化学,2
黑龙江,普通类(本科批),数学与应用数学,物理类,化学,2
黑龙江,普通类(本科批),统计学类,物理类,化学,2
黑龙江,普通类(本科批),微电子科学与工程,物理类,化学,2
黑龙江,普通类(本科批),物理学,物理类,化学,2
黑龙江,体育类,体育学类,体育(物理类),,2
黑龙江,艺考类,音乐表演（声乐）,艺术(不分科目类),,2
湖北,高校专项,教育学类,历史类,不限,1
湖北,高校专项,日语,历史类,不限,1
湖北,高校专项,环境科学与工程类,物理类,化学,1
湖北,高校专项,生态学,物理类,化学,1
湖北,国家优师专项,汉语言文学（优师专项）,历史类,不限,1
湖北,国家优师专项,历史学（优师专项）,历史类,不限,2
湖北,国家优师专项,英语（优师专项）,历史类,不限,1
湖北,国家优师专项,数学与应用数学（优师专项）,物理类,化学,1
湖北,国家优师专项,物理学（优师专项）,物理类,化学,1
湖北,普通类(本科批),汉语国际教育,历史类,不限,2
湖北,普通类(本科批),汉语言文学,历史类,不限,2
湖北,普通类(本科批),金融学类,历史类,不限,2
湖北,普通类(本科批),金融学（双学位）,物理类,不限,2
湖北,普通类(本科批),计算机科学与技术,物理类,化学,2
湖北,普通类(本科批),软件工程,物理类,化学,2
湖北,普通类(本科批),生态学,物理类,化学,2
湖北,普通类(本科批),数据科学与大数据技术,物理类,化学,2
湖北,普通类(本科批),数学与应用数学,物理类,化学,2
湖北,普通类(本科批),统计学类,物理类,化学,2
湖北,普通类(本科批),物理学,物理类,化学,3
湖北,普通类(本科批),心理学类,物理类,化学,2
湖北,普通类(提前批),化学（公费师范）,物理类,化学,2
湖北,普通类(提前批),生物科学（公费师范）,物理类,化学,2
湖北,普通类(提前批),数学与应用数学（公费师范）,物理类,化学,2
湖北,普通类(提前批),物理学（公费师范）,物理类,化学,2
湖北,艺考类,设计学类,艺术(不分文理),,4
湖南,高校专项,工商管理类,历史类,,1
湖南,高校专项,公共管理类,历史类,,1
湖南,高校专项,教育学类,历史类,,1
湖南,高校专项,马克思主义理论,历史类,,1
湖南,高校专项,地理信息科学,物理类,,1
湖南,高校专项,微电子科学与工程,物理类,,1
湖南,高校专项,心理学类,物理类,,1
湖南,国家优师专项,汉语言文学（优师专项）,历史类,不限,1
湖南,国家优师专项,历史学（优师专项）,历史类,不限,2
湖南,国家优师专项,英语（优师专项）,历史类,不限,2
湖南,国家优师专项,数学与应用数学（优师专项）,物理类,化学,2
湖南,国家优师专项,物理学（优师专项）,物理类,化学,2
湖南,国家专项,汉语言文学（公费师范）,历史类,不限,2
湖南,国家专项,历史学（公费师范）,历史类,不限,1
湖南,国家专项,特殊教育（公费师范）,历史类,不限,1
湖南,国家专项,学前教育（公费师范）,历史类,不限,2
湖南,国家专项,英语（公费师范）,历史类,不限,1
湖南,国家专项,地理科学（公费师范）,物理类,化学,1
湖南,国家专项,化学（公费师范）,物理类,化学,2
湖南,国家专项,生物科学（公费师范）,物理类,化学,1
湖南,国家专项,数学与应用数学（公费师范）,物理类,化学,1
湖南,国家专项,物理学（公费师范）,物理类,化学,2
湖南,普通类(本科批),汉语国际教育,历史类,不限,1
湖南,普通类(本科批),汉语言文学,历史类,不限,2
湖南,普通类(本科批),教育学类,历史类,不限,2
湖南,普通类(本科批),金融学类,历史类,不限,4
湖南,普通类(本科批),社会学类,历史类,不限,2
湖南,普通类(本科批),新闻传播学类,历史类,不限,2
湖南,普通类(本科批),广播电视编导,历史类,不限2,3
湖南,普通类(本科批),金融学（双学位）,物理类,不限,2
湖南,普通类(本科批),电子信息科学与技术,物理类,化学,2
湖南,普通类(本科批),化学,物理类,化学,2
湖南,普通类(本科批),计算机科学与技术,物理类,化学,2
湖南,普通类(本科批),软件工程,物理类,化学,5
湖南,普通类(本科批),生物科学类,物理类,化学,2
湖南,普通类(本科批),数据科学与大数据技术,物理类,化学,2
湖南,普通类(本科批),数学与应用数学,物理类,化学,2
湖南,普通类(本科批),统计学（双学位）,物理类,化学,2
湖南,普通类(本科批),统计学类,物理类,化学,2
湖南,普通类(本科批),微电子科学与工程,物理类,化学,2
湖南,普通类(本科批),物理学,物理类,化学,2
湖南,普通类(本科批),心理学类,物理类,化学,2
湖南,体育类,体育学类,体育(物理类),,2
湖南,艺考类,播音与主持艺术,艺术(不分科目类),,2
湖南,艺考类,设计学类,艺术(不分科目类),,4
湖南,艺考类,音乐表演（小提琴）,艺术(不分科目类),,2
湖南,艺考类,音乐表演（圆号）,艺术(不分科目类),,1
湖南,艺考类,音乐表演（长笛）,艺术(不分科目类),,1
湖南,艺考类,音乐表演（长号）,艺术(不分科目类),,1
湖南,艺考类,音乐表演（中提琴）,艺术(不分科目类),,1
吉林,高校专项,公共管理类,历史类,不限,1
吉林,高校专项,教育学类,历史类,不限,1
吉林,高校专项,化学,物理类,化学,1
吉林,高校专项,教育技术学（智能教育）,物理类,化学,2
吉林,国家优师专项,数学与应用数学（优师专项）,物理类,化学,1
吉林,国家优师专项,物理学（优师专项）,物理类,化学,1
吉林,普通类(本科批),工商管理类,历史类,不限,2
吉林,普通类(本科批),公共管理类,历史类,不限,2
吉林,普通类(本科批),汉语国际教育,历史类,不限,2
吉林,普通类(本科批),汉语言文学,历史类,不限,2
吉林,普通类(本科批),教育学类,历史类,不限,2
吉林,普通类(本科批),金融学类,历史类,不限,3
吉林,普通类(本科批),历史学,历史类,不限,2
吉林,普通类(本科批),社会学类,历史类,不限,3
吉林,普通类(本科批),新闻传播学类,历史类,不限,2
吉林,普通类(本科批),马克思主义理论,历史类,政治,2
吉林,普通类(本科批),人文地理与城乡规划,历史类,政治,2
吉林,普通类(本科批),政治学与行政学（双学位）,历史类,政治,2
吉林,普通类(本科批),金融学（双学位）,物理类,不限,2
吉林,普通类(本科批),地理科学,物理类,化学,2
吉林,普通类(本科批),电子信息科学与技术,物理类,化学,2
吉林,普通类(本科批),化学,物理类,化学,2
吉林,普通类(本科批),计算机科学与技术,物理类,化学,4
吉林,普通类(本科批),教育技术学（双学位）,物理类,化学,1
吉林,普通类(本科批),教育技术学（智能教育）,物理类,化学,1
吉林,普通类(本科批),软件工程,物理类,化学,6
吉林,普通类(本科批),生物科学类,物理类,化学,2
吉林,普通类(本科批),数据科学与大数据技术,物理类,化学,2
吉林,普通类(本科批),数学与应用数学,物理类,化学,2
吉林,普通类(本科批),通信工程,物理类,化学,2
吉林,普通类(本科批),统计学（双学位）,物理类,化学,2
吉林,普通类(本科批),统计学类,物理类,化学,3
吉林,普通类(本科批),微电子科学与工程,物理类,化学,4
吉林,普通类(本科批),物理学,物理类,化学,3
吉林,普通类(本科批),心理学（双学位）,物理类,化学,2
吉林,普通类(本科批),心理学类,物理类,化学,2
吉林,普通类(提前批),俄语,历史类,不限,2
吉林,普通类(提前批),西班牙语,历史类,不限,2
吉林,普通类(提前批),地理科学（公费师范）,物理类,化学,2
吉林,普通类(提前批),数学与应用数学（公费师范）,物理类,化学,2
吉林,普通类(提前批),物理学（公费师范）,物理类,化学,2
吉林,体育类,体育教育（公费师范）,体育(物理类),,2
吉林,体育类,体育学类,体育(物理类),,2
江苏,高校专项,法语,历史类,不限,1
江苏,高校专项,工商管理类,历史类,不限,2
江苏,高校专项,公共管理类,历史类,不限,1
江苏,高校专项,社会学类,历史类,不限,1
江苏,高校专项,马克思主义理论,历史类,政治,1
江苏,高校专项,政治学与行政学,历史类,政治,1
江苏,高校专项,地理信息科学,物理类,化学,1
江苏,高校专项,电子信息科学与技术,物理类,化学,1
江苏,高校专项,化学,物理类,化学,2
江苏,高校专项,环境科学与工程类,物理类,化学,1
江苏,高校专项,教育技术学（智能教育）,物理类,化学,1
江苏,高校专项,生态学,物理类,化学,1
江苏,高校专项,生物科学类,物理类,化学,1
江苏,高校专项,听力与言语康复学,物理类,化学,1
江苏,高校专项,微电子科学与工程,物理类,化学,1
江苏,高校专项,物理学,物理类,化学,1
江苏,高校专项,心理学类,物理类,化学,1
江苏,普通类(本科批),法学,历史类,不限,2
江苏,普通类(本科批),工商管理（智能商业实验班）,历史类,不限,2
江苏,普通类(本科批),工商管理类,历史类,不限,5
江苏,普通类(本科批),公共管理类,历史类,不限,2
江苏,普通类(本科批),汉语国际教育,历史类,不限,4
江苏,普通类(本科批),汉语言文学,历史类,不限,5
江苏,普通类(本科批),教育学类,历史类,不限,4
江苏,普通类(本科批),金融学类,历史类,不限,4
江苏,普通类(本科批),历史学,历史类,不限,4
江苏,普通类(本科批),人力资源管理（双学位）,历史类,不限,2
江苏,普通类(本科批),社会学类,历史类,不限,2
江苏,普通类(本科批),新闻传播学类,历史类,不限,4
江苏,普通类(本科批),英语,历史类,不限,3
江苏,普通类(本科批),哲学,历史类,不限,3
江苏,普通类(本科批),广播电视编导,历史类,不限2,3
江苏,普通类(本科批),马克思主义理论,历史类,政治,1
江苏,普通类(本科批),人文地理与城乡规划,历史类,政治,2
江苏,普通类(本科批),政治学与行政学,历史类,政治,1
江苏,普通类(本科批),政治学与行政学（双学位）,历史类,政治,2
江苏,普通类(本科批),金融学（双学位）,物理类,不限,3
江苏,普通类(本科批),地理科学,物理类,化学,2
江苏,普通类(本科批),地理信息科学,物理类,化学,2
江苏,普通类(本科批),地理信息科学（双学位）,物理类,化学,1
江苏,普通类(本科批),电子信息科学与技术,物理类,化学,2
江苏,普通类(本科批),化学,物理类,化学,4
江苏,普通类(本科批),环境科学与工程类,物理类,化学,3
江苏,普通类(本科批),计算机科学与技术,物理类,化学,17
江苏,普通类(本科批),教育技术学（双学位）,物理类,化学,3
江苏,普通类(本科批),教育技术学（智能教育）,物理类,化学,1
江苏,普通类(本科批),软件工程,物理类,化学,24
江苏,普通类(本科批),生态学,物理类,化学,2
江苏,普通类(本科批),生物科学类,物理类,化学,2
江苏,普通类(本科批),数据科学与大数据技术,物理类,化学,7
江苏,普通类(本科批),数学与应用数学,物理类,化学,8
江苏,普通类(本科批),通信工程,物理类,化学,5
江苏,普通类(本科批),通信工程（双学位）,物理类,化学,2
江苏,普通类(本科批),统计学（双学位）,物理类,化学,6
江苏,普通类(本科批),统计学类,物理类,化学,7
江苏,普通类(本科批),微电子科学与工程,物理类,化学,10
江苏,普通类(本科批),物理学,物理类,化学,4
江苏,普通类(本科批),心理学（双学位）,物理类,化学,2
江苏,普通类(本科批),心理学类,物理类,化学,4
江苏,体育类,体育学类,体育(历史类),,3
江苏,体育类,体育学类,体育(物理类),,2
江苏,艺考类,播音与主持艺术,艺术(历史类),,1
江苏,艺考类,美术学,艺术(历史类),,2
江苏,艺考类,设计学类,艺术(历史类),,4
江苏,艺考类,音乐表演（声乐）,艺术(历史类),,1
江苏,艺考类,播音与主持艺术,艺术(物理类),,1
江苏,艺考类,美术学,艺术(物理类),,2
江苏,艺考类,设计学类,艺术(物理类),,4
江苏,艺考类,音乐表演（声乐）,艺术(物理类),,1
江西,高校专项,工商管理类,历史类,不限,1
江西,高校专项,公共管理类,历史类,不限,1
江西,高校专项,教育学类,历史类,不限,1
江西,高校专项,社会学类,历史类,不限,1
江西,高校专项,政治学与行政学,历史类,政治,1
江西,高校专项,电子信息科学与技术,物理类,化学,1
江西,高校专项,教育技术学（智能教育）,物理类,化学,1
江西,高校专项,微电子科学与工程,物理类,化学,1
江西,高校专项,物理学,物理类,化学,1
江西,国家优师专项,汉语言文学（优师专项）,历史类,不限,1
江西,国家优师专项,历史学（优师专项）,历史类,不限,2
江西,国家优师专项,数学与应用数学（优师专项）,物理类,化学,2
江西,国家优师专项,物理学（优师专项）,物理类,化学,2
江西,国家专项,公共管理类,历史类,不限,1
江西,国家专项,教育学类,历史类,不限,2
江西,国家专项,社会学类,历史类,不限,2
江西,国家专项,哲学,历史类,不限,2
江西,国家专项,人文地理与城乡规划,历史类,政治,2
江西,国家专项,政治学与行政学,历史类,政治,2
江西,国家专项,地理信息科学,物理类,化学,1
江西,国家专项,电子信息科学与技术,物理类,化学,1
江西,国家专项,计算机科学与技术,物理类,化学,2
江西,国家专项,生物科学类,物理类,化学,1
江西,国家专项,听力与言语康复学,物理类,化学,1
江西,国家专项,通信工程,物理类,化学,1
江西,普通类(本科批),法学,历史类,不限,2
江西,普通类(本科批),翻译（双学位）,历史类,不限,2
江西,普通类(本科批),工商管理类,历史类,不限,2
江西,普通类(本科批),汉语国际教育,历史类,不限,2
江西,普通类(本科批),汉语言文学,历史类,不限,2
江西,普通类(本科批),教育学类,历史类,不限,2
江西,普通类(本科批),金融学类,历史类,不限,4
江西,普通类(本科批),社会学类,历史类,不限,2
江西,普通类(本科批),新闻传播学类,历史类,不限,2
江西,普通类(本科批),英语,历史类,不限,2
江西,普通类(本科批),马克思主义理论,历史类,政治,2
江西,普通类(本科批),人文地理与城乡规划,历史类,政治,2
江西,普通类(本科批),政治学与行政学（双学位）,历史类,政治,2
江西,普通类(本科批),金融学（双学位）,物理类,不限,2
江西,普通类(本科批),地理科学,物理类,化学,1
江西,普通类(本科批),电子信息科学与技术,物理类,化学,2
江西,普通类(本科批),化学,物理类,化学,5
江西,普通类(本科批),环境科学与工程类,物理类,化学,2
江西,普通类(本科批),计算机科学与技术,物理类,化学,5
江西,普通类(本科批),教育技术学（双学位）,物理类,化学,2
江西,普通类(本科批),教育技术学（智能教育）,物理类,化学,1
江西,普通类(本科批),软件工程,物理类,化学,10
江西,普通类(本科批),生物科学类,物理类,化学,2
江西,普通类(本科批),数据科学与大数据技术,物理类,化学,2
江西,普通类(本科批),数学与应用数学,物理类,化学,3
江西,普通类(本科批),通信工程,物理类,化学,2
江西,普通类(本科批),通信工程（双学位）,物理类,化学,2
江西,普通类(本科批),统计学（双学位）,物理类,化学,4
江西,普通类(本科批),统计学类,物理类,化学,3
江西,普通类(本科批),微电子科学与工程,物理类,化学,3
江西,普通类(本科批),物理学,物理类,化学,4
江西,普通类(本科批),心理学（双学位）,物理类,化学,2
江西,普通类(本科批),心理学类,物理类,化学,2
江西,普通类(提前批),汉语言文学（公费师范）,历史类,不限,2
江西,普通类(提前批),英语（公费师范）,历史类,不限,2
江西,普通类(提前批),思想政治教育（公费师范）,历史类,政治,2
江西,普通类(提前批),地理科学（公费师范）,物理类,化学,2
江西,普通类(提前批),化学（公费师范）,物理类,化学,3
江西,普通类(提前批),生物科学（公费师范）,物理类,化学,2
江西,普通类(提前批),数学与应用数学（公费师范）,物理类,化学,4
江西,普通类(提前批),物理学（公费师范）,物理类,化学,5
江西,体育类,体育教育（公费师范）,体育(不分科目类),,2
江西,体育类,体育学类,体育(不分科目类),,2
江西,艺考类,设计学类,艺术(不分科目类),,2
辽宁,高校专项,教育学类,历史类,,1
辽宁,高校专项,社会学类,历史类,,1
辽宁,高校专项,电子信息科学与技术,物理类,,1
辽宁,普通类(本科批),工商管理类,历史类,,2
辽宁,普通类(本科批),汉语国际教育,历史类,,3
辽宁,普通类(本科批),汉语言文学,历史类,,2
辽宁,普通类(本科批),教育学类,历史类,,2
辽宁,普通类(本科批),金融学类,历史类,,4
辽宁,普通类(本科批),人力资源管理（双学位）,历史类,,2
辽宁,普通类(本科批),新闻传播学类,历史类,,2
辽宁,普通类(本科批),哲学,历史类,,2
辽宁,普通类(本科批),地理科学,物理类,,2
辽宁,普通类(本科批),地理信息科学,物理类,,2
辽宁,普通类(本科批),地理信息科学（双学位）,物理类,,1
辽宁,普通类(本科批),电子信息科学与技术,物理类,,2
辽宁,普通类(本科批),化学,物理类,,3
辽宁,普通类(本科批),计算机科学与技术,物理类,,5
辽宁,普通类(本科批),教育技术学（双学位）,物理类,,1
辽宁,普通类(本科批),教育技术学（智能教育）,物理类,,1
辽宁,普通类(本科批),金融学（双学位）,物理类,,3
辽宁,普通类(本科批),软件工程,物理类,,6
辽宁,普通类(本科批),数据科学与大数据技术,物理类,,3
辽宁,普通类(本科批),数学与应用数学,物理类,,2
辽宁,普通类(本科批),通信工程,物理类,,2
辽宁,普通类(本科批),统计学（双学位）,物理类,,2
辽宁,普通类(本科批),统计学类,物理类,,4
辽宁,普通类(本科批),物理学,物理类,,3
辽宁,普通类(本科批),心理学（双学位）,物理类,,2
辽宁,普通类(本科批),心理学类,物理类,,2
辽宁,普通类(本科批),新闻学（双学位）,物理类,,2
辽宁,体育类,体育学类,体育(物理类),,2
辽宁,艺考类,播音与主持艺术,艺术(历史类),,1
辽宁,艺考类,设计学类,艺术(历史类),,2
辽宁,艺考类,播音与主持艺术,艺术(物理类),,1
辽宁,艺考类,设计学类,艺术(物理类),,1
内蒙古,高校专项,化学（公费师范）,理工,,1
内蒙古,高校专项,生物科学（公费师范）,理工,,1
内蒙古,国家优师专项,数学与应用数学（优师专项）,理工,,1
内蒙古,国家优师专项,物理学（优师专项）,理工,,1
内蒙古,国家优师专项,汉语言文学（优师专项）,文史,,2
内蒙古,国家优师专项,英语（优师专项）,文史,,1
内蒙古,国家专项,地理科学（公费师范）,理工,,3
内蒙古,国家专项,化学（公费师范）,理工,,1
内蒙古,国家专项,生物科学（公费师范）,理工,,1
内蒙古,国家专项,物理学（公费师范）,理工,,1
内蒙古,国家专项,思想政治教育（公费师范）,文史,,3
内蒙古,民族预科,地理科学,理工,,1
内蒙古,民族预科,化学,理工,,1
内蒙古,民族预科,环境科学与工程类,理工,,1
内蒙古,民族预科,计算机科学与技术,理工,,1
内蒙古,民族预科,心理学类,理工,,1
内蒙古,普通类(提前批),地理科学（公费师范）,理工,,5
内蒙古,普通类(提前批),化学（公费师范）,理工,,5
内蒙古,普通类(提前批),生物科学（公费师范）,理工,,1
内蒙古,普通类(提前批),数学与应用数学（公费师范）,理工,,5
内蒙古,普通类(提前批),物理学（公费师范）,理工,,5
内蒙古,普通类(提前批),汉语言文学（公费师范）,文史,,2
内蒙古,普通类(提前批),历史学（公费师范）,文史,,3
内蒙古,普通类(提前批),思想政治教育（公费师范）,文史,,2
内蒙古,艺考类,美术学,艺术(不分文理),,2
宁夏,高校专项,地理科学（公费师范）,理工,,1
宁夏,高校专项,学前教育（公费师范）,文史,,1
宁夏,国家优师专项,数学与应用数学（优师专项）,理工,,1
宁夏,国家优师专项,物理学（优师专项）,理工,,1
宁夏,国家优师专项,汉语言文学（优师专项）,文史,,1
宁夏,国家优师专项,英语（优师专项）,文史,,1
宁夏,国家专项,化学（公费师范）,理工,,2
宁夏,国家专项,数学与应用数学（公费师范）,理工,,1
宁夏,国家专项,物理学（公费师范）,理工,,1
宁夏,普通类(提前批),地理科学（公费师范）,理工,,1
宁夏,普通类(提前批),生物科学（公费师范）,理工,,2
宁夏,普通类(提前批),数学与应用数学（公费师范）,理工,,1
宁夏,普通类(提前批),物理学（公费师范）,理工,,2
宁夏,普通类(提前批),汉语言文学（公费师范）,文史,,2
宁夏,普通类(提前批),英语（公费师范）,文史,,1
青海,高校专项,地理科学（公费师范）,理工,,1
青海,高校专项,化学（公费师范）,理工,,1
青海,高校专项,特殊教育（公费师范）,文史,,2
青海,国家优师专项,数学与应用数学（优师专项）,理工,,1
青海,国家优师专项,物理学（优师专项）,理工,,1
青海,国家优师专项,汉语言文学（优师专项）,文史,,1
青海,国家优师专项,历史学（优师专项）,文史,,1
青海,国家优师专项,英语（优师专项）,文史,,1
青海,国家专项,化学（公费师范）,理工,,1
青海,国家专项,物理学（公费师范）,理工,,1
青海,普通类(提前批),地理科学（公费师范）,理工,,1
青海,普通类(提前批),化学（公费师范）,理工,,1
青海,普通类(提前批),生物科学（公费师范）,理工,,1
青海,普通类(提前批),数学与应用数学（公费师范）,理工,,2
青海,普通类(提前批),汉语言文学（公费师范）,文史,,1
青海,普通类(提前批),历史学（公费师范）,文史,,1
青海,普通类(提前批),英语（公费师范）,文史,,1
山东,高校专项,地理信息科学,综合改革,,1
山东,高校专项,工商管理类,综合改革,,1
山东,高校专项,环境科学与工程类,综合改革,,1
山东,高校专项,教育学类,综合改革,,1
山东,高校专项,马克思主义理论,综合改革,,1
山东,高校专项,社会学类,综合改革,,1
山东,高校专项,生态学,综合改革,,1
山东,高校专项,生物科学类,综合改革,,1
山东,普通类(本科批),电子信息科学与技术,综合改革,,2
山东,普通类(本科批),法学,综合改革,,2
山东,普通类(本科批),法学（双学位）,综合改革,,2
山东,普通类(本科批),翻译（双学位）,综合改革,,2
山东,普通类(本科批),工商管理（智能商业实验班）,综合改革,,2
山东,普通类(本科批),汉语国际教育,综合改革,,3
山东,普通类(本科批),汉语言文学,综合改革,,3
山东,普通类(本科批),化学,综合改革,,2
山东,普通类(本科批),计算机科学与技术,综合改革,,4
山东,普通类(本科批),教育学类,综合改革,,2
山东,普通类(本科批),金融学（双学位）,综合改革,,3
山东,普通类(本科批),金融学类,综合改革,,2
山东,普通类(本科批),历史学,综合改革,,2
山东,普通类(本科批),马克思主义理论,综合改革,,2
山东,普通类(本科批),人文地理与城乡规划,综合改革,,2
山东,普通类(本科批),软件工程,综合改革,,9
山东,普通类(本科批),生物科学类,综合改革,,2
山东,普通类(本科批),数据科学与大数据技术,综合改革,,6
山东,普通类(本科批),数学与应用数学,综合改革,,4
山东,普通类(本科批),通信工程,综合改革,,4
山东,普通类(本科批),通信工程（双学位）,综合改革,,2
山东,普通类(本科批),统计学（双学位）,综合改革,,3
山东,普通类(本科批),统计学类,综合改革,,2
山东,普通类(本科批),微电子科学与工程,综合改革,,7
山东,普通类(本科批),物理学,综合改革,,4
山东,普通类(本科批),心理学（双学位）,综合改革,,2
山东,普通类(本科批),心理学类,综合改革,,2
山东,普通类(本科批),新闻传播学类,综合改革,,2
山东,普通类(本科批),政治学与行政学（双学位）,综合改革,,2
山东,普通类(提前批),地理科学（公费师范）,综合改革,,2
山东,普通类(提前批),汉语言文学（公费师范）,综合改革,,3
山东,普通类(提前批),化学（公费师范）,综合改革,,5
山东,普通类(提前批),历史学（公费师范）,综合改革,,1
山东,普通类(提前批),生物科学（公费师范）,综合改革,,2
山东,普通类(提前批),数学与应用数学（公费师范）,综合改革,,3
山东,普通类(提前批),思想政治教育（公费师范）,综合改革,,2
山东,普通类(提前批),物理学（公费师范）,综合改革,,3
山东,普通类(提前批),英语（公费师范）,综合改革,,2
山东,体育类,体育教育（公费师范）,体育(不分文理),,6
山东,体育类,体育学类,体育(不分文理),,2
山东,艺考类,播音与主持艺术,艺术(不分文理),,2
山东,艺考类,美术学,艺术(不分文理),,2
山东,艺考类,美术学（美教）（公费师范）,艺术(不分文理),,2
山东,艺考类,设计学类,艺术(不分文理),,7
山东,艺考类,音乐学（音教）（公费师范）,艺术(不分文理),,2
山西,高校专项,化学,理工,,2
山西,高校专项,工商管理类,文史,,1
山西,国家优师专项,数学与应用数学（优师专项）,理工,,2
山西,国家优师专项,物理学（优师专项）,理工,,2
山西,国家优师专项,汉语言文学（优师专项）,文史,,2
山西,国家优师专项,历史学（优师专项）,文史,,2
山西,国家优师专项,英语（优师专项）,文史,,2
山西,普通类(本科批),化学,理工,,1
山西,普通类(本科批),计算机科学与技术,理工,,1
山西,普通类(本科批),金融学（双学位）,理工,,2
山西,普通类(本科批),软件工程,理工,,2
山西,普通类(本科批),生物科学类,理工,,2
山西,普通类(本科批),数据科学与大数据技术,理工,,2
山西,普通类(本科批),数学与应用数学,理工,,2
山西,普通类(本科批),通信工程,理工,,2
山西,普通类(本科批),统计学类,理工,,2
山西,普通类(本科批),物理学,理工,,2
山西,普通类(本科批),心理学类,理工,,2
山西,普通类(本科批),法学,文史,,1
山西,普通类(本科批),法学（双学位）,文史,,1
山西,普通类(本科批),汉语言文学,文史,,2
山西,普通类(本科批),教育学类,文史,,2
山西,普通类(本科批),金融学类,文史,,2
山西,普通类(本科批),新闻传播学类,文史,,2
山西,普通类(提前批),地理科学（公费师范）,理工,,2
山西,普通类(提前批),化学（公费师范）,理工,,3
山西,普通类(提前批),生物科学（公费师范）,理工,,2
山西,普通类(提前批),数学与应用数学（公费师范）,理工,,2
山西,普通类(提前批),物理学（公费师范）,理工,,3
山西,普通类(提前批),俄语,文史,,1
山西,普通类(提前批),法语,文史,,2
山西,普通类(提前批),汉语言文学（公费师范）,文史,,2
山西,普通类(提前批),思想政治教育（公费师范）,文史,,2
山西,普通类(提前批),西班牙语,文史,,2
山西,普通类(提前批),学前教育（公费师范）,文史,,2
山西,普通类(提前批),英语（公费师范）,文史,,2
山西,体育类,体育教育（公费师范）,体育(理),,2
山西,艺考类,设计学类,艺术(不分文理),,2
陕西,高校专项,化学,理工,,1
陕西,高校专项,生物科学类,理工,,1
陕西,高校专项,教育学类,文史,,2
陕西,国家优师专项,数学与应用数学（优师专项）,理工,,1
陕西,国家优师专项,物理学（优师专项）,理工,,1
陕西,国家优师专项,汉语言文学（优师专项）,文史,,1
陕西,国家优师专项,历史学（优师专项）,文史,,2
陕西,国家优师专项,英语（优师专项）,文史,,2
陕西,国家专项,地理科学（公费师范）,理工,,1
陕西,国家专项,化学（公费师范）,理工,,1
陕西,国家专项,生物科学（公费师范）,理工,,1
陕西,国家专项,数学与应用数学（公费师范）,理工,,1
陕西,国家专项,物理学（公费师范）,理工,,1
陕西,国家专项,汉语言文学（公费师范）,文史,,1
陕西,国家专项,历史学（公费师范）,文史,,1
